ResponseID,PROLIFIC_PID,open.16
R_3FICnzuKjTgs0dy,5e5d8769d2fda30a7e2a98dd,"I believe that representation is important to equalizing social capital, and that when diversity is the goal, it makes sense to take into account a person's demographic factors to increase diversity of representation. As long as it is not the only metric taken into account (e.g. cost, skill, experience, etc.) it can only strengthen the decision-making process."
R_vCgc94ewepqwFZ7,5dd8095ead0a617951aa8656,I believe it would be fair to pass the proposition to make hiring decisions more equal for every minority group that has been under represented.
R_3oGckMwcA6sgq6l,5ecb172f24373e126c6f3905,I support it because it will give minorities more of a chance to get hired. 
R_2xxUtXCB9ASo4Nm,5e63ca8bae6d1d152afed2b4,"The opportunity for an employer to have this information should, ideally, help them diversify and improve their workforce. However, businesses would have to held to the uses this info is intended for (to diversify, NOT to discriminate)."
R_2zGALfF7ltTNS4c,5cc9b60821576e000117f55a,"While I believe that it is important for diversity (I am a Latino), I believe that the opposite intended effect can happen and thus bring us back to square one. It would be best to examine merit and if diversity is needed, no single group should be above another. Diversity should be spread equally across groups."
R_2CVeU0ozfFBanqk,5ef943ba0b7f8b6eb50671f1,Diversity quotas are contradictory in nature and are therefore inherently detrimental (and potentially discriminatory) to one group of people compared to the other. The focus should be on equity as opposed to equality.
R_1M5v2CnEAnkExUk,5ea728375bbed90ef955e114,"I would typically support this proposition however there is research that shows that these programs don't work as intended.  While I support giving everyone a fair shake, what typically happens is that people that have less credentials and experience get a position based on race, gender, etc and that has a negative impact on both the company/process, society and the individual. "
R_3qfLVFRrpL6GTfI,5e892f781d25005c7b6d74c6,I do not feel CA Proposition 16 will do much for the people. It does not bring much change. 
R_pmxJTF5edY4LgUp,5bbd0150dc021a0001a47dd5,If CA Proposition 16 gives more opportunity to minorities then I am in support of that. I do think this could result in negative bias as well though. I can see both sides.
R_1FD6721YyrPzQD7,5bde3d1a3ec77c0001bddc37,We need to do more to give everyone an opportunity to move up.
R_DNQPPnqSID18opj,5c3faea48cb6f5000180c64b,"I think the government is involved in far too many things that it should not be. Also, diversity is already allowed as a factor, so this really doesn't do anything."
R_1NnBFAN9FxeUptK,57c03e8031097300011eda4e,I think this would allow for more opportunities for minorities by giving the option to consider minority status in decision making. I think that giving more opportunities to those who tend to be underrepresented is almost always a good idea.
R_3iqWiKuKQgTVYld,5c6f25d25eac7b000127528c,I think systemic racism has given white people a leg up so evening that out would be a benefit to people of color.
R_SId7vnI7uDkPx0B,5bdca5a43c033f00019f446e,"I oppose it for a the same reasons Thomas Sowell opposed 'Affirmative Action:'  /  / 1) It's unconstitutional and unjust on its face, people ought to be judged explicitly by their talents, merit, and work ethic -- not arbitrary factors they have no control over,  /  / 2) The results are likely to be negative for all groups of people, not just white Americans. Again, it's the same thing we saw with college admissions and the horrendous results of 'Affirmative Action' that drastically -- and artificially, mind you -- inflated the college drop-out rate of non-white Americans by putting students into schools they weren't yet prepared for. While it may sound like a good idea to a group of wealthy privileged (primarily white) people at the top, the reality is far more concerning. When we as a society go out of our way to explicitly lie to students, potential employees, etc. -- regardless of ethnicity, gender identity, etc. -- all we do is set them up for a path of frustration, unnecessary struggle, and eventual checking out.  /  / I worry not only about the terrible optics of such a bill (from a state that's already pleading people to not leave en masse), but the realities of what this is likely to mean for non-white Americans trying to get these jobs. People may be placed in jobs they're not properly suited for and those who aren't of this privileged group (which boils down to essentially people who aren't a cis-gendered, heterosexual, white male) will find it more difficult to get along with co-workers as you have an intentionally divisive law enacted that will lead others to believe they're in the position they're in not because of their ability and competency, but because of characteristics like gender, sexual orientation, or ethnicity.  / "
