ResponseID,PROLIFIC_PID,ptp.race,open.16
R_ahOOoJplQgCGq1X,5e87885bdb8aa43f5e37902e,white,I kind of support it
R_0etPuxhkLiJFHjz,5e447de76b13dd2f51488ea9,white,I support this because I believe that these factors provide important context for a person's achievements and that consideration of them will improve equity and equality in society moving forward.
R_3EnMGiB7Qygo7V7,5ef41870dd7d5a1caade9a05,white,"Diversity should be expected in everything when it comes to employment if the person can do the job. I understand that certain people prefer hiring a certain type of person based on race, sex, etc., but that is not right to me because I expect them to have an even playing ground. Should be based on resume and persons capabilities and personality."
R_Q9P2g67SrXAaPOV,5ed174832955ea0c743fead2,white,"It seems like a step in the right direction for increasing diversity, but i am concerned it could be used to discriminate as well. I need to do more research on this prop."
R_25SGEbxqg6lt1BW,5ed2109da3c8c204b76f6cd5,white,"It's about giving people the opportunity to be competitive in the labor force. We need to support those small businesses, especially as we rebuild from COVID-19. Wealth will be invested back into our communities."
R_2QQb3sLBruTLWrI,5d46e2e2291942001c2bf6d8,white,"Race, sex, color, ethnicity, or origin should not be a factor in employment etc.  Hard work should be part of it."
R_2aFan7y5iIslB3U,5f820fb53feaf1322fba5c82,white,Such policy would make the people angry and will deliver more protest around the area of CA
R_3MA72Fnf1wCbTMB,5c3056c489f0350001766df3,white,"I don't think that race, gender, or ethnicity should play a role in employment or education decisions. If you say that it can be considered, it could also work in the opposite way it was intended and harm those applicants. Decisions on education and employment should be solely based on the qualifications of an applicant."
R_2Sx04NjGVu11qxE,5e51572b94d9e61826f109e7,white,I support Proposition 16 because it will attempt to help level the playing field for people who are oftentimes overlooked.
R_3GlBBzVxl0OVu3D,5ef623ae56fe360c6f3066ee,white,"I support it because diversity is an important goal and this measure will help, I hope."
R_1gIOAloV015SOnf,5e8970d2bde837609541a1eb,white,I am undecided in my decision about the proposition at this time.
R_2fBv6wcJ0NTBA3Q,55d10258a392570012ea105b,white,"Latinos already control entire industries. They are not disadvantaged. This will allow them to bully other groups, and Black people in particular. No one will discuss racism among Mexicans in particular. But they will call Black Americans ""monkey"" etc to their faces. This law will make California a worse place and less meritocratic."
R_cYqmOkiodY1SWid,5eb30f3df0b5800d9933b806,white,I support Proposition 16 because it gives minorities a better chance at succeeding. For many minorities there are many outside factors that impede on their success. Helping alleviate is necessary if we want to give everyone an equal chance.
R_5hdk9GiXawIe8VP,5f45b0822618051d9ac8a4aa,white,"I do not support Proposition 16 because it allows consideration not on the basis of one's character or merit. I want to provide opportunities to those in lower socioeconomic statuses, but the law should view everyone equally, and we should work within that framework to ensure we arrive at principled solutions."
R_1ln1V2h1xz9EE08,5f29bcd6a340af13ed199faa,white,I think that this is a good thing because it allows companies to specifically seek employees of a certain racial or ethnic background. This may allow for greater representation in the workplace.
R_1it8CgBzSVoU9Di,5f2e341083467e199cfb3d7c,white,"At the end of the day minorities still suffer from inequalities across this board, so my hope is that this alleviates some of shortfalls in current society."
R_2uzBpK0GpX4Gg9P,5c3399d8cb218a000176c6c6,white,It gives people an unfair advantage based on circumstances outside of their control. It goes against the idea that all men are created equal.
