ResponseID,PROLIFIC_PID,open.resp
R_2YbumIvoYMO4daY,5e74c97402f92901723c0d53,"I think the biggest barrier is stereotypes and racism. Even though it is not as bad as it once once, it still exists."
R_3kEW33klJoyiVX3,5de3a8c01017853a3dcc176a,"In some instances, disabled people are simply unable to perform the necessary duties in a role. For example, manual labor in construction or long hours on their feet in retail or hospitality. "
R_3gTurmbaeX7P6w4,5f0d41b91fba44762b8c44e3,I think the biggest barrier is helping people achieve equality while also not making it harder for others to achieve the same thing. I think an easy first step is educating about discriminatory practices because many people are unaware they exist.
R_ZpZeYV3sjBFc5kR,5f12199d89c5c8000aaaee8e,I think the unwillingness from certain groups of people to accept change is a big barrier to equality. Some people don't understand or care that society as a whole is better off when there is equality. 
R_RluiT34UZTJpA65,5efcce586913680d063d7c5f,"By realizing that no government or industry can create “equality”. We are equal in the fact that we are all of the same source, however we are all very uniquely different. If we were all the same it would be a very uninteresting world "
R_2lZXyjXsxoOL89X,5728ebae0802f2000e3eefc4,The people who make the decisions are the biggest barrier. No amount of changes in policy will make a difference.
R_2SGjQWJ7ND1GqNM,5e7d09e7f0a5a00c4a1ccf96,"The biggest barrier is that advantages accrue to the dominant group continuously, so their status reproduces itself. "
R_1eDD0dNQQFCHB7G,5c40bb8880392f00015e8910,I think the people making the rules and setting the standards are the biggest problem.  / I think there is always a bias that keeps things unequal
R_25nfk3L8zkWiKqt,5ef8f67e43a45e674d5ff98b,"The biggest barrier is education. Once schools can be provided more funding and more oversight to make sure that everyone has the same opportunities when leaving school, things will have a better chance at evening out. "
R_80T4bKYWWSIVHkR,5d45fbf8916eb40001501653,"We need to dismantle policy separating ethnic groups and re write, we keep building policy on top of outdated ventures and the foundation is weak and will never sustain the weight we keep adding."
R_1FqP4CssvCZothO,5bf2b21f7c13eb0001fd6b49,"Honestly, people's attitudes. The capability is there, we can see where the inequalities are, but ideas of some sort of weird meritocracy, trickle-down economics, denial of systemic racism, these all hold us back from actually making things more equal. Obviously things will never be totally equal, but they're nowhere even near as equal as we can make them."
R_3PMKWbeF1sySNYy,5bf9cc2b138674000124bdc8,We have a long history of institutionalized racism in western society that is still very widespread and alive 
R_12xy4bBxNncth75,5c905ca0f754bd0017fc27ac,The lack of kindness and understanding. The current state of our nation. 
R_PzZnnu4ONbOioHT,5d667a1a3741ea0001c719b9,"I think the biggest barrier is convincing white people that they aren't losing anything they deserve by making policies more equal. The assumption of privilege is hard to break, but must be done. "
R_3Q0rXU00deRMtZo,5ef80e619a2ea954fbb28377,Employers willingness to change and acknowledge disparity gap. Employees willingness to acknowledge others need jobs outside of those in privileged identities. 
R_tQjKIRjUURX9VYZ,5ba345bcf07414000106135e,The impression they give caused by other people in their group. Talk and actions they give other people.
R_3O3A0KW3tptWR2u,5ca2d3dd010c73001606b7d8,"People have preconceived notions about different groups.  Also some groups have, in the past, had policies used against them so they don't have as much money or education to start with."
R_Rr886mnf2fEleOB,5ec5b3dc293dfe6149a1bf7e,Those that have not wanting to yield to those who don’t have
R_1gIPcBJ2nEFzE0J,5e32454e441956226b50d5dc,"I think that the fear of losing power prevents those who are in power from enacting meaningful change. To achieve true equality, some groups at the very top will have to be equalized and I don't think they want that. Those are also the people who have the greatest ability to pass policies and legislation."
R_1OMQKiWFG0CDKvn,5f5b80b503c2b72c50928de0,The ruling majority feels threatened by fairness and fights to hold on to their advantage. The system does not inspire trust by marginalized communities and therefore they don't buy in.
R_Z8mMLPie8YD8PF7,5ddbea45332b34b21e214d51,"People are oppressed because of their skin color, gender, ethnicity, wealth, etc. These people have children who grow up at a disadvantage compared to other non-oppressd people thus continuing the cycle. "
