ResponseID,PROLIFIC_PID,open.resp
R_2WItBNtgW43jNZp,5dd3276ea4aa26340acc8600,Equality will never be achieved unless you are in socialism.   People need to have the desire to succeed and improve themselves.  This is the only way they can move up.  I am from a low income family.  I lived in low income housing.  I managed to put my self through school with Federal grants and get a degree.  I worked hard in my job to get where I am now.  It is possible but it required work.  
R_32MfTYJeDlK4bmK,5f8df0e2fa4f8b18a7443c7e,I think the biggest barrier is racism and unconscious bias.
R_1jqArMjZ96rCQRC,5d0bb1874d659a0001391226,Stereotypes and a cycle of poverty along with education disparities.
R_3hhzd1iYrJcHAYM,5dce93c2e1022008013ad20b,"A lack of understanding of differences. Most people gravitate to what is familiar to them, so the biggest barrier is a dearth of knowledge of diverse groups and getting to know individuals in these groups."
R_2YhPbNuIjQA58l0,5b906c59a711d60001fe375b,Structural changes. In a lot of cases someone has to win and someone has to lose. 
R_2sfYs3lqtq2RhMl,5e4a2f23f64db74915406236,Solving wealth inequality is by far the most important thing 
R_AhvFWY7WnThcR4l,5ad8d88fc0332a0001ec71b1,"Big business and wealthy people, lawmakers and prejudices. So many things at play that make it hard to make meaningful change."
R_1eVpxImgAov6NeG,5e8fd98b3b2ab82d465e56e0,I think the biggest barrier is ambivalence and apathy--all the people who are not directly affected by a given type of discrimination and can't be bothered to help fix it. 
R_1Ebv4v6xkX0Z6v6,5f1706b685408e02fee0bca4,
R_us6Sw4927WLaD73,5deb3142a20dbe25224df17d,I believe the biggest barrier to creating equality between different groups is our country's racist foundations and structures.
R_2E9P347GED8l5lG,5f4fb5c0dc3f250a56d9a223,stigmas 
R_2QofmeGDbE9OyPW,5ed971362acc1a14b7beb5a9,We need more women/transgender and POC peoples in office because they actually understand the issues and can provide legitimate solutions
R_CdjXoipVjJoSpDH,5f7ba78144712b190d608580,I believe social differences are the biggest barrier.
R_1EcY8bQmoIfy8jO,5c115af1373adc0001ce0893,"Increasing opportunities available for a single group is easy, but doing so in a way that is not inherently unfair towards another group is tough. "
R_3m3ld3QkuYO6vnZ,5e8fbc4dddd9ff2bfc87a879,"social labels and stereotypes, as well as the rise of racism"
R_1qV9s5xP4t0d0bW,5f4a9fb6ab878a53133ff498,Everyone is so divided that I don’t think this will ever change
