ResponseID,PROLIFIC_PID,open.resp
R_NWnupeL4F6KGIzT,,
R_3j86nWBxqym8vO5,5a5c0728ac5624000153f533,Laws and standards
R_Y4bSE8Clzcy4L85,5cf845e485e94e001789fd44,Time is the biggest barrier. It takes so much time do undo the racism that is so heavily rooted into so many structures.
R_10oVMPRXtIdRBKQ,5d7dcf8f366c9e001bd6ed73,The group that benefits the most before the change generally fears that equality would come at the expense of their comfort or possessions. 
R_28Yfcqcg6IxiXrs,5ef8fb1e04563309af34689a,Stereotypes that lead different races to have a barrier
R_AHEngaP29Vzili1,5dc7870428e0d566b626bcb9,Its difficult to do so because its hard to make everyone feel like they are equal.
R_2pRguP8Mmi1cYCU,5a864d7caa46dd00016bae76,"I believe that the biggest barrier to creating equality between different groups is prejudiced attitudes in general. Whatever group we are discussing, is a group that has been discriminated against at some point in history and we are still seeing the prejudice in these gaps today."
R_2wjfJvouxF74nJm,5ebdd6168e3cee1209a0332f,"Capitalism encourages inequality by its very nature; it relies on wealth inequality and income disparities. Also, most people are racist and don't believe they're racist just because they're not literal KKK members, so when they hear about initiatives like the ones described here, they get upset that a group (whom they perceive to be disadvantaged only by other ""actual racists"" and not systemically) is benefiting from something that they aren't, not recognising that they are already benefiting under a racist system"
R_3HYy2hxNoiCap1M,5e5990f5c7b31719d3a6eab7,Changing social perspectives.
R_1DU6dMZWmyDidza,5b92c1ade4af2b0001e4c1a6,"Mainly that many people in the United States are still very racist, we strive to have a very archaic moral."
R_2SwaJX6gMLKRbU6,5e839bcd3be5e70c6107a7f2,The perceived harm a group might experience when trying to improve the equality of a situation.
R_1DwhuK5Z1DBW2Oy,5e65e1f98ebdaf35914d8d3a,The ongoing disagreement largely created by non accurate news 
R_3D5XWTf4pcfTBMw,5ed9f421b940fe5a87a22ea3,The people who are in charge of the laws have a racial bias and prevent racial equality laws from being created.
R_269Lc56vbwsyvcN,5ca4bade374f11000118f010,"Personal responsibility. Obviously outside help is a big thing, but people have to work towards changing their lives for the better."
R_T7nJEqV2Sh4TglP,5e33837fa617e535a5be85a7,"Not having researched this at all, I can't really say, but I suppose a large barrier to creating equality is the perception that some people (aka white, non-disabled people, in these scenarios) are going to lose out on opportunities, as a result of more opportunities being made available to people who were previously considered less than equal (in these scenarios, black, Latino, or disabled people). "
R_d076iv9cbjJCKQx,5eac5c5f36ec6b29ebe524d5,Preconceived notions about how society currently runs will impede equality.
R_25TJjtG8Pef4oer,5e1be26a93e9d5402a651f55,Defining what equal is. Is it equal opportunity? Or equal outcomes?
R_2mkQTZK7Q6wSIQp,5c381b1ce4dbd30001fbc9c9,People are resistant to change form what they have been taught. 
R_2EoBZd1LGYT7Zpu,5eb3137a95eefd0eb9985c5b,"People believe that by giving up some of their privileges they become less and are ""equal""."
R_33pZrEzHwHal6U8,5e83e4cfba24c813d61809b3,Changing people's perceptions of other people.
R_1qb5wy79tDe6Ufx,5dbb604ab1df1b16c10a3510,People's mentality needs to change.  People are people and everyone deserves a fair chance.
R_T0LHJJ4kKdNM6sx,5d4722bddbbead0019eaf8e4,"Any time the government tries to create equality, it hurts everyone. People don't need handouts, they must get their act together; facts don't care about feelings."
R_28He4YTfiNkkXjk,5c05c77f24419e0001a3094f,I think the biggest barrier is the bias people have whether they may realize it or not.
R_3qwdVI5WkrQePA5,5e93738e5156380617967010,Ignorance of people's race or religion is what usually causes barriers between people
R_pbnoDvGFJOoSSu5,5bc6e0f93808a50001649d75,The biggest barrier is making sure both groups have equal chances to succeed in the first place.
R_3aS7UQJClhfpdRv,5d6c10948cb0f70017b1f7a4,"I think too many people don't see when they are actually being part of the problem, so they don't change things."
R_3PB66v6RVXCWRV4,5dd45741e454cd4505d57477,"Predjudice and Racism are key.  I cant wait to see the day when we are all equal and of the same color.  Unfortunately, I will not live that long.  "
R_d4K9BD7PD12oEKJ,5eb476230ef3862d9a31464b,There will still be people on hiring teams or people who are in charge that will have biases. 
R_3HUNMCmoL1wNEgD,5ec829e78fd0f02dab19a6b8,it's hard to treat everyone the same.
R_8qNseFLuCTM793H,5e51dc7483c96c2148353e25,"I think discrimination is the biggest barrier. If you're anything but ""normal,"" or well-off in the eyes of banks or employers, it's hard to get a chance."
R_2YAlU9dZXTEtAEk,5dfff529b1f222c26993c215,"The boomer mindset that if they help people gain a better position that is more equal to theirs, then their own position must be affected negatively for them to gain."
R_1esBvxDJl31HhED,5d1cc4f0c2db5400158a195d,People's ability to empathize and see the bigger pictures of systemic issues that cause the lack of ability to empathize in the fist place. 
R_SVnKn1Ep1JaUn0l,5dcefdea710dfc05309c2f77,The biggest barrier to creating equality between groups is identifying the discrimination in the minority/lower class groups
R_1l3pE7aQG4Ab2v3,5d250aa62bf4a600012a0c0f,Systemic underpinnings of generational wealth and power
R_z2QfmbJGG19B46B,5ec673fa3ef2410523cfab7a,I think that the biggest barrier to creating equality between different groups is the mindset.
R_a05tpH1EsWfpJbH,5a60237c76d1c60001ab8945,The greed of our country that is run by lobbyists for large corporations will hold down people who are at a disadvantage.  
R_3qpulrsDkpoURJf,5cec366130e2430001abdf6d,I think the biggest barrier is unconscious bias. 
R_1Krx6WUBSZzzDLM,5e2cc504032d282ef44a2c41,"The rich get richer, ie people with power tend to keep that power and pass it along to their families and friends, instead of lowering the ladder back down to help others come up. "
R_3Oitu9At8qJSMF4,5e3efbdf8c5c2015bfcdf4f2,I believe that internal biases pose the biggest obstacle in creating equality and closing the gaps between given groups.
R_2CHY6AS9V9wap77,5d30bbf8b8f79a0019e3c1ce,I think the biggest barrier to creating equality between different groups is the prejudice some people were raised to believe and their lack of motivation to correct it.
R_2amfvANxzhmwJme,5e70139675ec140dc18c14d1,"I think that the stigma created over a couple centuries has greatly harmed society’s current outlook on certain groups of people. We are trying to fix it, but it’s not going to come overnight."
R_2Y343aLmh3GYmEf,5d9b654a4ce5d302eb848122,People's perceptions and prejudices
R_3porfQFmAUMvKov,5ecf047a1e1cca173d6bff10,I think it is education.
R_1l5eb8QxJLQ1OV1,5ccb1fbf8da3dd0018c77354,"Racism, as it is very internalized within the USA"
R_2zolGxX42TYjL5T,5eff861793088005c0be09df,I think the biggest barrier is just societal concerns and impressions. The inherent bias is really hard to pinpoint and reduce due to societal conditioning.
R_bkOgMZKUehpxIsh,5ea9a82d6e16ad0c16362de8,Race
