ResponseID,PROLIFIC_PID,open.resp
R_22mqITwjwEohIXZ,5f3ae1d68c88967a1d3b86c0,The biggest barrier is existing prejudices that have been taught to us by our culture.
R_1oG4mep4gMVbdYu,5f791324388d2c5221334f11,
R_2COGxEnTFCQTOMq,5fa72c1c268731476180c2c0,"When you give opportunities to one group of people, other groups feel as if they are being penalized."
R_3RgrcgTWh4KIIdt,5c7571ce41f6de00153ba74c,I think the biggest barrier to creating equality is a limited understanding those in positions of power have of the systemic issues that disadvantage minorities.  
R_2cqGw8QBzgH44lA,5eece89d63352e0c327ddb0b,"Aside from the fact that it will take a huge amount of investment and more than just an admission of the problem, it will have to triumph over people's irrational fear that other groups having equality somehow lowers theirs, seeing it as a finite resource, that one group's rise must create another's fall."
R_9EvxspyRPwVnDrP,5e7bd24633285d205d09259d,
R_3kc6mggEbfQJ6Zp,58913d344a4e4300019c4a74,"I think the biggest barrier is economic inequality - those not economically privileged are at a disadvantage from birth, and see far fewer opportunities, and are cultivated, educated, and encouraged far less, than those born into more privileged economic strata. "
R_a3kPp0khou5yyAN,5c4e08bf0467570001252b13,"Removing stereotypes about performance based on race, gender, or physical capabilities."
R_25QQVXd7vVKR5cp,5eaca7d096a624329dcb5e1d,I think the majority group is the biggest barrier. They may have biases and believe that providing opportunities for others would take away their own personal opportunities.
R_6SwcU6INICppwPf,5a6fdd4f82968f0001a6a4cd,I believe there is misplaced fear by the majority group that doing more to reduce the gap would decrease opportunities for the majority group.
R_9siZaCU9NMQodJn,588e44ebbc9f190001487ecc,So many reasons for the gap that aren't easy to examine.
R_9me5Uuw55yk5Id3,5f033d7bfb996350d7fb2590,Keeping existing groups satisfied so they buy into changes to help those less served.
R_1DFJaNMJA8I8J5E,5d2df745da13f60018d14b64,"I think the biggest barrier is the idea that all resources are finite. They aren't in terms of jobs, housing, money and there is a way to grow and not cause harm."
R_XyMU6IC12izjwvn,5f3ab64559692572e63230c6,Companies arent willing to take the risk.
R_1mszZsyUT3kkeIx,56d1083921cd29000a97382d,"Different groups do not start out at the same place; for instance, some racial groups have less stable family structures and employers (often reasonably) discriminate against ex-cons."
R_1hLICEHckciU2Ie,5d40d1ba12426c00157d3c7e,Negative societal perceptions that lead to policies/practices favoring only those seen as 'desirable.' Hiring practices become too focused on the company's bottom line/payout and less about the workers who contribute to it's success.
R_1CwqVJYma6jP4Si,5d522280598b86000132de0d,"unintentional biases, societal biases, institutional biases"
R_eLnzY6jLLCFeUc9,5e7a258b1a7e1c069379711c,"America is still racist, paranoid and unforgiving of transgressions. "
R_1F4iFUovGlPAWGi,5e2ac2aa0038f21089a533a4,Eliminating bias in thinking as a whole.
R_1irocNWMlCceCPD,5eeaa938c7acf61cd3ba2112,Overcoming the idea that some people will lose out on an opportunity seems to be one of the largest barriers. 
R_3FR4Ce8le8B7Q40,5a6c248d3fb6420001c302fb,"The fact that there are elements in society who profit from inequality, and more to the point, who profit off creating and talking about inequality. Without a de facto racial subclass to write about, a whole segment of academia and journalism goes without a paycheck. No offense to you as researchers, but I think we should be aware that grifters make up a substantial portion of the ""ancient racial grievance"" conversation. /  / How many generations before we stop describing an entire race as ""descendants of slaves""? We are all descendants of slaves."
R_1QnjY9GThs8oyn8,5e2916b49a409c0d7160f318,One of the biggest barriers is the perception that reducing a gap between groups means harming the group currently/traditionally ahead.
R_2YFaCaXDgJTxITX,5c6205a724b1fc00019db2de,I think the biggest barrier is prejudice from the dominant class leaving the other classes behind or feeling like they'll be negatively affected
R_3R8fi4Iq38SXkS3,5e9e791686627224b3ae2b73,"Creating equitable access to education, and the current oppression of giving the poor in the poor class. Money and education."
R_3M6zXKkrRhWdKOA,5ed50d3e6b9db6058102efaf,I think the biggest barrier to creating equality between different groups is often that one group will always feel they are being discriminated upon through quotas based on people's identities.
R_ex1TA8jL3sWBnIR,5d70439c4605de001ac46d3a,Lack of recognition that increased rights for one group does not mean decreased rights for any other group
R_2CQG7AhE2Nor8NZ,5f1f02dff0628308ca27f3ba,previous laws and stereotypes
R_33xVxFKL4pNoqSM,5d19a6801ae42000191bd745,You canít create equality it has to happen on its own
R_3dKTeZ1BVulDcnM,5fb16b74db3ebe611d8503e5,Social stigma and acceptance of people that may be different or follow a different path. We have predisposed assumptions about different groups that cause us to deny them certain rights and privileges. 
R_3RvJ3CikeYSLLei,5966aae6d9e2860001b26dc7,"I believe the biggest barrier is a lack of will. It means the majority (with race, that means white people like me) need to be ready to acknowledge their privilege and take a step back so others can step forward."
R_2afVyJm2YdWWPpg,5e7ac53ac56f930008423de2,The ongoing stereotypes of what one perceives a group to be like.
R_2R2gJtYgSOaRtrd,5f4a9363207a7e05019afbff,"Most people donít really care and only attempt to do things to appear like they care about being woke, inclusive, and diverse- but when it comes to actually doing the work they do the least amount possible (unless they are in a minority group putting in the physidal and emotional labor to try and force change). An example: have enough POC in a school for some brochures but then the demographics of the university is majority white with majority white professors. "
R_1NDPT9OVn1O3xZ3,5f97189431f20208b66886bd,Widespread acceptance from those in a greater position of power that socioeconomic groups should be treated more equally.
R_WkyK27OHKPxmDEB,5e1a675ff122ed2e0709cfef,"The biggest barrier in my opinion is social status, companies want to hire individuals that fit a certain mold whether it be through looks, style, money, education, or status in the community. "
R_3EnEL641z9wUWqH,5f91fdd7a6961b1013d3e734,people's tendancy to hate rather than love
R_2vhKXfftS2W5v2I,5fa4ae30397c77153bb2091b,"I think the question is flawed, as there isn't an universal answer for all groups. Inequality based on gender or racial disparity is not the same issue as inequality based on legal record, or on disability. Each issue requires a different approach, as the barrier comes from different concerns and misconceptions."
R_2CwcrjPcTO9dq7D,5c474e3330525a0001038255,the advantaged group perceives equality as oppression
R_1dfQ410pHsRTWij,5b4653a7a47aa0000133219e,Resistance by the groups that are already in power to give up any of that power.
R_1rrJE2PaTdPsi9Y,5ee51258972de3238933c942,It is hard to define how much extra help to give without being unfair to other groups.
R_6VZvHqufIm2C0YV,5d96203d74f4a000159a8c58,diffusion of responsibility in which there are just too many people and situations involved
R_qwQQniIC4PsKDIZ,5c0c23a7217d60000112173a,Our policies are built on and continually reinforce structural inequity.
R_9SPpGRJIB2R1hIZ,57b144e5f89fc60001ae81ae,Not harming others.  Often it is a zero sum game so you are taking things away from others.
R_vpiXS7fQMH9uboR,5dd348356d522535afddc44e,"I think it would be the human element in hiring. While the company can make policies for hiring more minorities or more disabled people, at the end of the day, it will be a person who will make the actual hire. If they are not inclined to hire a person, the policy probably won't change this. "
R_3G1fFyIyOA8IN2K,5f8bd0a44685a00008f45486,You must change people's ATTITUDES and PERCEPTIONS in order for true equality to happen.
R_124IS2R1VvLO1Ut,5ec866acd314a03483aa2634,The Black group is more likely to fail in business than the White group
R_1gFwb4fOCKWiUyK,5f6e547c688fd3383a6f7d0b,systemic racism 
R_ZEnLCSm8JLEreG5,5e0ea41b4acfb95ea854b983,coming up with solutions that not only sound good but actually work practically
